Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
zstd -22	4.889	1.150	518.225	.205	1.074
zstd -21	4.888	1.211	460.644	.206	1.031
zstd -20	4.862	1.264	518.225	.206	.997
zstd -19	4.639	1.759	592.257	.216	.784
zstd -18	4.546	2.073	592.257	.220	.702
zstd -17	4.465	2.369	518.225	.224	.646
zstd -16	4.400	3.100	690.966	.228	.550
zstd -15	4.191	3.885	460.644	.240	.497
zstd -14	4.140	2.805	592.257	.242	.598
zstd -13	4.100	5.062	592.257	.244	.441
zstd -12	4.053	7.620	592.257	.247	.378
zstd -11	4.007	10.967	518.225	.250	.341
zstd -10	3.941	16.386	690.966	.254	.315
zstd -9	3.885	22.052	690.966	.258	.303
zstd -8	3.848	27.096	592.257	.260	.296
zstd -7	3.788	34.838	690.966	.264	.292
zstd -6	3.686	54.550	690.966	.272	.290
zstd -5	3.526	81.290	518.225	.284	.296
zstd -4	3.430	142.958	592.257	.292	.298
zstd -3	3.393	138.193	592.257	.295	.302
zstd -2	3.194	188.445	592.257	.314	.319
zstd -1	3.018	218.200	690.966	.332	.336
